JD,g,Lat,Elon,V,Rotation,Phase
2452436.862716,0.361,29.38,358.75,15.3460,15.3322,15.3453
2452787.613817,0.513,31.63,27.75,15.3909,15.3707,15.3508
2452550.702273,1.712,28.33,62.68,15.4945,15.4284,15.3990
2452799.274918,0.316,31.35,90.63,15.4712,15.4592,15.3389
2452472.996286,1.238,28.55,122.50,15.4924,15.4435,15.3854
2452772.634032,0.911,31.96,151.89,15.3719,15.3356,15.3539
2452440.068009,0.411,29.30,178.12,15.2808,15.2648,15.3477
2452688.556350,1.734,32.17,210.66,15.2690,15.2021,15.3920
2452458.097114,0.859,28.86,242.13,15.2661,15.2318,15.3665
2452789.676579,0.463,31.58,271.51,15.2976,15.2794,15.3475
2452444.277588,0.500,29.19,300.90,15.3213,15.3016,15.3508
2452750.264898,1.442,32.33,332.49,15.3632,15.3068,15.3872